NIF,CartaoID
122739568,125872
126530497,194512
131057896,213758
132078495,271888
134856792,282346
143257609,287936
152679403,346277
172345908,357198
176452893,369215
291043578,418264
216739584,421639
217539604,429700
218057936,503639
182543970,512446
238965140,535640
259430817,561322
273491805,569843
237695184,649723
293481506,684901
301964857,690422
305789462,727904
307495618,745960
312497085,758325
314908257,758478
315809426,793845
320876541,812139
331406579,831106
395867421,876553
397425816,887501
398425761,946136
