NIF,UtilizadorID,Nome,Email,NumeroTelemovel,Endereco
122739568,89504,"David Silva",davidsilva@hotmail.com,917654321,"Rua das Papoilas, 765, Braga, Portugal"
126530497,72641,"Francisco Rodrigues",franciscorodrigues@hotmail.com,925678543,"Rua das Camélias, 543, Guimarães, Portugal"
131057896,74103,"Matilde Pereira",matildepereira@outlook.com,936789012,"Travessa das Flores, 789, Braga, Portugal"
132078495,50372,"Rafael Oliveira",rafaeloliveira@gmail.com,910987654,"Rua dos Jasmins, 654, Setúbal, Portugal"
134856792,91635,"Mariana Pereira",matildepereira@outlook.com,926543210,"Travessa dos Lírios, 210, Évora, Portugal"
143257609,70195,"Sara Pereira",sarapereira@outlook.com,924109876,"Avenida das Palmeiras, 876, Viana do Castelo, Portugal"
152679403,74251,"Hugo Barbosa",hugobarbosa@gmail.com,935678901,"Avenida das Margaridas, 876, Porto, Portugal"
172345908,82415,"Lucas Ferreira",lucasferreira@outlook.com,923456789,"Rua da Esperança, 789, Guarda, Portugal"
176452893,32796,"Tiago Fernandes",tiagofernandes@outlook.com,933210987,"Rua dos Pinheiros, 987, Aveiro, Portugal"
182543970,61724,"Miguel Santos",miguelsantos@outlook.com,936789012,"Avenida dos Cravos, 210, Funchal, Portugal"
216739584,36420,"Tomás Ferreira",tomasferreira@outlook.com,926543210,"Rua dos Crisântemos, 210, Faro, Portugal"
217539604,28347,"Sofia Oliveira ",sofiaoliveira@gmail.com,912345678,"Rua da Amizade, 123, Lisboa, Portugal"
218057936,81629,"Gonçalo Carvalho",goncalocarvalho@outlook.com,924109876,"Praça Central, 543, Setúbal, Portugal"
237695184,58430,"Margarida Castro",margaridacastro@hotmail.com,927654321,"Travessa dos Narcisos, 543, Covilhã, Portugal"
238965140,37948,"Inês Cardoso",inescardoso@hotmail.com,917654321,"Avenida Central, 432, Leiria, Portugal"
259430817,57209,"Diogo Almeida",diogoalmeida@hotmail.com,919876543,"Rua das Oliveiras, 876, Viseu, Portugal"
273491805,19576,"Alice Martins",alicemartins@outlook.com,933210987,"Avenida das Rosas, 987, Barcelos, Portugal"
291043578,46823,"João Silva",joaosilva@hotmail.com,914321098,"Rua dos Cedros, 098, Castelo Branco, Portugal"
293481506,18475,"Carolina Rodrigues",carolinarodrigues@hotmail.com,925678543,"Praça Central, 654, Faro, Portugal"
301964857,29586,"Pedro Gonçalves",pedrogoncalves@gmail.com,912345678,"Rua dos Louros, 345, Beja, Portugal"
305789462,50629,"Rodrigo Santos",rodrigosantos@gmail.com,915432109,"Rua da Liberdade, 321, Coimbra, Portugal"
307495618,63019,"Clara Pinto",clarapinto@outlook.com,923456789,"Travessa dos Narcisos, 098, Lisboa, Portugal"
312497085,65021,"André Martins",andremartins@gmail.com,938765432,"Rua dos Girassóis, 765, Vila Real, Portugal"
314908257,43850,"Catarina Costa",catarinacosta@gmail.com,915432109,"Rua das Violetas, 109, Ponta Delgada, Portugal"
315809426,98714,"Leonor Almeida",leonoralmeida@hotmail.com,919876543,"Travessa das Acácias, 321, Viseu, Portugal"
320876541,81043,"Beatriz Costa",beatrizcosta@gmail.com,910987654,"Avenida Principal, 543, Setúbal, Portugal"
331406579,47630,"Madalena Sousa",madalenasousa@hotmail.com,914321098,"Rua das Violetas, 345, Coimbra, Portugal"
395867421,13987,"Laura Santos",laurasantos@gmail.com,935678901,"Praça das Fontes, 901, Portimão, Portugal"
397425816,21908,"Mariana Nunes",marianunes@gmail.com,938765432,"Avenida dos Lírios, 432, Portimão, Portugal"
398425761,90562,"Gabriel Silva",gabrielsilva@hotmail.com,927654321,"Avenida dos Sonhos, 456, Porto, Portugal"
